STOCK_CODE,MNEMONIC,PART_NUMBER,PN Global,ITEM_NAME,STOCK_TYPE District,CLASS,HOME_WH,UOI,ISSUING PRICE,PRICE_CODE
26,BANDO,A-45,A-45,V-BELT,G,P,SPUT,EACH,18000,FP
42,BANDO,B-41,B-41,V-BELT,S,P,SPUT,EACH,30750,FP
75,BANDO,B-60,B-60,V-BELT,G,P,SPUT,EACH,33958.19,FP
117,BRGSTONE,12.00-24 FLAP,12.00-24 FLAP,FLAPPER,G,P,SPUT,EACH,315714.28,FP
158,BRGSTONE,Belum Setting PN,"26.5-R25, BS, **, VLTS_NEW",TYRE,I,P,SPUT,EACH,44820644.22,FP
182,CAT,142-1403,142-1403,AIR CLEANER,S,P,SPUT,EACH,750000,FP
240,CAT,1R-0749,1R-0749,"FILTER, FLUID",S,P,SPUT,EACH,240000,FP
257,CAT,1R-0751,1R-0751,FUEL FILTER,S,P,SPUT,EACH,215000,FP
307,CIGWELD,306049,306049,"NOZZLE, WELDING",S,P,SPUT,EACH,225000,FP
315,CIGWELD,308735,308735,FLASHBACK,G,P,SPUT,EACH,543600,FP
323,CIGWELD,LP 240,LP 240,L H HOSE END KIT,S,P,SPUT,KIT,98010,FP
349,COSMOROD,"CA-60, 3.2 MM","CA-60, 3.2 MM","ELECTRODE, WELDING",S,P,SPUT,KG,450000,NM
406,NIPDENSO,447200-0157,447200-0157,COMPRESSOR,S,P,SPUT,EACH,0,FP
430,DEUTZ,N05502218,N05502218,FUEL FILTER,S,P,SPUT,EACH,258241,
471,DONALSON,P822686,P822686,AIR CLEANER,S,P,SPUT,EACH,110000,FP
539,EYEBRAND,M6X1.00X50X50-CLS8.8,M6X1.00X50X50-CLS8.8,BOLT NUT WASHER (M6),G,P,SPUT,EACH,600,FP
588,KOMATSU,426-20-21610,426-20-21610,BOLT,S,G,UTVH,EACH,0,FP
687,GS,N150 AH,N150 AH,"BATTERY, STORAGE",S,P,SPUT,EACH,1234600,
695,GS,N70 AH,N70 AH,"BATTERY, STORAGE",S,P,SPUT,EACH,569300,
703,HALTEC,OTR 1825,OTR 1825,BEAD BREAKER,S,P,SPUT,EACH,10662950,FP
950,KLEEN,KL 57,KL 57,GREASE ADDITIVE,H,P,SPUT,PAIL,1380000,
992,KOMATSU,01010-51035,01010-51035,"BOLT, MACHINE",S,G,UTVH,EACH,5959.48,FP
1008,KOMATSU,01010-81280,01010-81280,"BOLT, MACHINE",S,G,UTVH,EACH,0,FP
1016,KOMATSU,01010-61450,01010-61450,BOLT,S,G,UTVH,EACH,0,FP
